,Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
33,4110,Hoodie,2653.0,2022-10-11,4.2,Credit Card
34,3984,Sweater,4859.0,2022-12-19,5.0,Cash
35,4109,Blouse,3731.0,2023-03-02,3.0,Credit Card
36,4054,Swimsuit,3393.0,2023-02-28,4.3,Cash
37,4040,Kimono,3138.0,2023-05-12,2.95,Credit Card
38,4083,Cardigan,2636.0,2023-04-09,1.7,Cash
39,4122,Socks,2881.0,2023-02-22,2.4,Credit Card
40,3972,Pants,3378.0,2023-05-06,3.6,Cash
41,3980,Pajamas,2418.0,2023-05-26,2.2,Credit Card
42,4012,Scarf,2379.0,2023-05-29,2.9,Credit Card
43,3992,Backpack,101.0,2022-12-13,1.3,Credit Card
44,4105,Dress,164.0,2022-10-20,3.2,Credit Card
45,4119,Boots,21.0,2023-04-03,3.9,Cash
46,3957,Camisole,147.0,2022-11-04,4.7,Cash
47,3994,Loafers,110.0,2023-05-16,3.9,Cash
48,3995,Bowtie,30.0,2022-11-23,4.1,Cash
49,4072,Poncho,170.0,2022-10-15,3.6,Credit Card
50,4093,Trousers,102.0,2023-05-25,2.1,Cash
51,4031,Blouse,190.0,2023-01-14,3.0,Cash
52,4056,Sneakers,110.0,2022-11-02,2.9,Credit Card
53,4114,Leggings,84.0,2023-06-15,3.8,Cash
54,4104,Backpack,69.0,2023-05-27,2.1,Cash
55,4071,Tunic,107.0,2022-12-03,1.5,Cash
56,4007,Dress,172.0,2023-04-05,1.9,Cash
57,4009,Flannel Shirt,51.0,2023-04-16,1.8,Cash
58,4038,Tie,63.0,2023-02-13,4.3,Cash
59,4033,Backpack,189.0,2023-08-31,4.9,Cash
60,4102,Cardigan,175.0,2023-06-05,3.6,Credit Card
61,4034,Tunic,110.0,2023-07-01,1.5,Credit Card
62,4068,Jeans,146.0,2023-08-26,1.1,Cash
63,4045,Gloves,51.0,2023-01-27,2.5,Credit Card
64,3979,Camisole,79.0,2023-06-05,1.3,Cash
65,4106,Trousers,173.0,2023-09-07,3.4,Credit Card
66,3959,Trousers,66.0,2022-11-02,4.5,Cash
67,4113,Boots,24.0,2023-01-20,1.2,Credit Card
68,4087,Scarf,18.0,2022-11-21,1.7,Credit Card
69,4060,Polo Shirt,112.0,2023-06-08,1.2,Cash
70,3989,Sweater,64.0,2023-03-13,3.2,Credit Card
71,4032,Wallet,155.0,2023-03-08,1.1,Credit Card
72,3972,Boots,90.0,2023-01-26,4.6,Credit Card
73,4051,Umbrella,137.0,2023-06-30,4.6,Cash
74,4097,Tank Top,174.0,2022-10-10,3.4,Cash
75,3970,Camisole,77.0,2023-01-05,2.4,Cash
76,3957,Gloves,110.0,2023-05-16,2.7,Cash
77,4100,Loafers,147.0,2023-03-02,3.9,Credit Card
78,4048,Pajamas,159.0,2022-11-08,1.2,Credit Card
79,3985,Flannel Shirt,159.0,2023-03-05,2.6,Cash
80,4029,Leggings,66.0,2023-06-16,3.7,Cash
81,3964,Hat,45.0,2023-03-17,4.8,Cash
82,4017,Bowtie,33.0,2023-09-28,3.3,Credit Card
83,4067,Handbag,38.0,2023-05-25,3.1,Cash
84,4108,T-shirt,110.0,2023-09-10,2.5,Credit Card
85,4057,Jacket,110.0,2023-01-02,4.7,Cash
86,4117,Kimono,162.0,2023-04-16,1.1,Cash
87,4038,Jacket,110.0,2022-10-27,4.8,Credit Card
88,4054,Socks,129.0,2022-12-23,2.4,Cash
89,4060,Sweater,151.0,2023-07-17,3.2,Cash
90,4054,Handbag,12.0,2022-12-29,2.6,Credit Card
91,4068,Pants,39.0,2023-03-21,2.4,Credit Card
92,4096,Scarf,147.0,2023-02-11,4.1,Credit Card
93,4011,Blouse,174.0,2023-04-21,3.4,Cash
94,4001,Hoodie,85.0,2023-09-17,3.3,Cash
95,4078,Hat,126.0,2023-06-29,2.1,Credit Card
96,3992,Slippers,110.0,2023-04-26,2.9,Cash
97,4005,Sun Hat,194.0,2022-12-16,2.9,Credit Card
98,4099,Scarf,138.0,2023-05-20,2.9,Credit Card
99,4055,Boots,139.0,2023-01-05,1.9,Credit Card
100,4049,Trench Coat,170.0,2023-07-13,3.3,Cash
101,4063,Hoodie,173.0,2023-06-23,2.1,Credit Card
102,3996,Belt,60.0,2023-03-04,2.3,Credit Card
103,4030,Camisole,110.0,2022-10-25,2.5,Credit Card
104,3989,Overalls,148.0,2023-05-19,4.1,Credit Card
105,3991,Blazer,145.0,2023-05-03,4.5,Credit Card
106,3959,Coat,163.0,2023-05-09,3.5,Credit Card
107,3975,Camisole,14.0,2023-02-07,3.5,Cash
108,4122,Socks,110.0,2022-12-10,2.4,Credit Card
109,3961,Boots,88.0,2022-10-07,1.2,Cash
110,3993,Belt,71.0,2023-05-18,4.4,Credit Card
111,4081,Hat,30.0,2023-09-01,1.2,Credit Card
112,4068,Loafers,110.0,2023-04-13,1.2,Credit Card
113,3991,Boots,27.0,2023-09-16,2.0,Credit Card
114,3978,Blazer,146.0,2023-01-15,3.7,Credit Card
115,3992,Cardigan,42.0,2022-12-14,2.4,Credit Card
116,4121,Sunglasses,150.0,2023-06-03,3.4,Credit Card
117,4063,Bowtie,110.0,2022-11-05,1.3,Credit Card
118,4073,Handbag,165.0,2023-09-28,3.0,Credit Card
119,4111,Socks,64.0,2023-01-15,2.3,Credit Card
120,4065,Sneakers,196.0,2023-03-24,4.3,Credit Card
121,4116,Onesie,192.0,2023-01-16,3.6,Credit Card
122,4003,Hoodie,181.0,2023-07-09,1.6,Credit Card
123,4073,Swimsuit,122.0,2023-04-25,4.2,Credit Card
124,4087,Vest,125.0,2023-06-02,2.6,Credit Card
125,4065,Pajamas,110.0,2023-05-03,2.9,Credit Card
126,4098,Coat,96.0,2023-09-21,3.5,Credit Card
127,4072,Onesie,110.0,2022-12-11,1.2,Cash
128,4055,Bowtie,160.0,2023-04-03,4.6,Cash
129,4047,Belt,28.0,2023-08-07,3.1,Cash
130,4014,Trench Coat,25.0,2022-12-05,4.2,Cash
131,4004,Flip-Flops,18.0,2023-01-21,4.1,Credit Card
132,4065,Poncho,28.0,2023-06-29,3.3,Credit Card
133,4111,Belt,81.0,2023-05-10,1.9,Credit Card
134,3958,Tunic,64.0,2023-06-17,1.1,Cash
135,4104,Pants,195.0,2023-06-02,2.5,Cash
136,4084,Onesie,156.0,2023-08-08,1.3,Credit Card
137,4017,Jeans,72.0,2022-10-28,3.25,Credit Card
138,4085,Tunic,114.0,2023-04-28,1.9,Credit Card
139,4025,Pajamas,110.0,2023-09-10,3.3,Cash
140,4062,Belt,110.0,2023-09-22,2.7,Credit Card
141,4096,Hoodie,118.0,2022-10-17,4.4,Cash
142,4104,Tunic,196.0,2023-02-13,1.2,Cash
143,4050,Blazer,110.0,2023-06-23,3.1,Credit Card
144,3965,Loafers,175.0,2023-06-26,2.1,Cash
145,3966,Polo Shirt,110.0,2023-04-21,2.2,Credit Card
146,4102,Pants,96.0,2023-07-31,2.0,Credit Card
147,4080,Sun Hat,37.0,2023-09-14,2.4,Cash
148,4051,Camisole,58.0,2023-01-29,4.0,Cash
149,3985,Hat,45.0,2022-12-31,2.0,Credit Card
150,4105,Sandals,81.0,2022-10-31,4.5,Credit Card
151,4080,Pajamas,29.0,2023-09-22,2.4,Credit Card
152,3977,Overalls,150.0,2023-03-22,4.7,Cash
153,3993,Blazer,110.0,2023-04-09,3.4,Cash
154,4091,Overalls,148.0,2023-01-30,2.7,Cash
155,4028,Cardigan,33.0,2023-02-11,4.3,Credit Card
156,4076,Pajamas,70.0,2022-10-05,3.2,Credit Card
157,4089,Sun Hat,110.0,2023-03-28,2.6,Cash
158,3977,Loafers,64.0,2022-10-15,1.6,Cash
159,4090,Onesie,25.0,2023-09-18,2.1,Cash
160,4113,Jacket,110.0,2023-06-27,1.3,Cash
161,3979,Trousers,110.0,2023-08-07,4.9,Credit Card
162,4019,Blouse,126.0,2022-12-15,3.5,Credit Card
163,4077,Romper,188.0,2023-06-01,4.6,Credit Card
164,4118,Onesie,152.0,2023-01-12,1.1,Credit Card
165,3976,Socks,134.0,2023-07-24,2.1,Credit Card
166,4119,Pants,110.0,2023-05-04,4.7,Cash
167,4095,Socks,24.0,2022-11-13,1.5,Cash
168,4105,T-shirt,148.0,2023-03-18,3.3,Credit Card
169,4036,T-shirt,110.0,2023-08-03,3.8,Credit Card
170,4113,Trench Coat,22.0,2023-05-20,1.5,Cash
171,3970,Camisole,138.0,2023-05-09,4.7,Cash
172,4044,Camisole,145.0,2023-02-10,2.4,Cash
173,4093,Swimsuit,110.0,2022-10-06,3.2,Cash
174,3959,Kimono,30.0,2023-03-11,1.5,Cash
175,4077,Vest,27.0,2023-01-08,4.6,Credit Card
176,4073,Tie,182.0,2023-09-16,3.5,Cash
177,4088,Vest,113.0,2023-09-02,1.2,Credit Card
178,4077,Poncho,110.0,2023-03-15,2.4,Credit Card
179,4103,Swimsuit,73.0,2023-04-30,2.6,Cash
180,4041,Pajamas,20.0,2023-05-20,4.3,Cash
181,4064,Kimono,117.0,2022-10-31,2.9,Cash
182,4047,Blazer,154.0,2023-06-01,1.7,Cash
183,4032,Backpack,76.0,2023-06-15,4.7,Cash
184,4031,Slippers,193.0,2023-08-02,1.3,Credit Card
185,3999,Jacket,77.0,2023-05-27,3.4,Credit Card
186,3966,Tie,181.0,2023-06-14,3.6,Credit Card
187,4109,Dress,127.0,2023-09-30,2.8,Cash
188,4034,Shorts,28.0,2023-03-24,3.4,Cash
189,4101,Pajamas,110.0,2023-03-27,1.4,Cash
190,4023,Sunglasses,154.0,2023-02-09,2.4,Credit Card
191,3972,Coat,28.0,2022-12-22,4.6,Credit Card
192,4118,Socks,139.0,2023-05-13,4.4,Credit Card
193,4078,Tunic,99.0,2022-11-10,2.3,Cash
194,4105,Belt,72.0,2023-07-29,1.7,Credit Card
195,4000,Sandals,50.0,2023-09-27,4.3,Cash
196,4103,Jumpsuit,149.0,2022-10-16,5.0,Cash
197,3970,Tunic,166.0,2023-02-02,3.1,Credit Card
198,4031,Camisole,177.0,2023-06-28,3.5,Cash
199,4116,Raincoat,180.0,2023-02-11,3.1,Cash
200,3963,Trench Coat,86.0,2022-12-16,1.5,Cash
201,4030,Romper,36.0,2023-01-02,2.8,Credit Card
202,4081,Kimono,44.0,2023-06-03,2.2,Credit Card
203,3978,Handbag,37.0,2023-01-17,5.0,Cash
204,3989,Tank Top,49.0,2023-04-26,4.7,Credit Card
205,4086,Swimsuit,164.0,2022-12-07,1.6,Cash
206,3976,Tank Top,97.0,2023-05-23,4.4,Cash
207,4028,Sweater,172.0,2023-01-15,1.1,Credit Card
208,4021,Backpack,139.0,2023-01-02,4.8,Cash
209,3990,Pajamas,23.0,2022-11-01,4.2,Credit Card
210,4114,Belt,110.0,2023-09-28,3.1,Cash
211,4028,Poncho,80.0,2022-12-31,1.1,Cash
212,4027,Boots,110.0,2022-12-30,4.8,Credit Card
213,4022,Boots,43.0,2023-08-27,3.9,Cash
214,3960,Onesie,77.0,2022-12-16,4.3,Cash
215,3985,Dress,110.0,2023-06-05,1.4,Credit Card
216,4111,Swimsuit,190.0,2022-11-23,4.4,Credit Card
217,4001,Handbag,12.0,2022-11-25,2.7,Cash
218,4108,Romper,110.0,2022-11-09,4.5,Credit Card
219,3995,Umbrella,186.0,2023-05-27,3.9,Cash
220,4071,Jeans,149.0,2023-04-09,2.4,Cash
221,4051,Tank Top,110.0,2023-08-31,3.2,Credit Card
222,4001,Wallet,151.0,2023-06-09,3.9,Cash
223,4023,Backpack,110.0,2023-05-08,3.0,Credit Card
224,4017,Pants,110.0,2023-08-08,3.5,Cash
225,4081,Sandals,20.0,2022-12-02,4.1,Cash
226,4003,Loafers,63.0,2023-06-10,2.3,Credit Card
227,4092,Overalls,180.0,2022-11-25,2.7,Cash
228,3965,Umbrella,110.0,2023-05-06,4.2,Cash
229,4044,Pants,114.0,2022-12-25,4.4,Credit Card
230,3978,Sandals,49.0,2022-10-31,4.5,Cash
231,3994,Boots,70.0,2023-03-01,3.4,Cash
232,4109,Loafers,55.0,2022-12-21,1.0,Credit Card
233,3996,Slippers,16.0,2023-08-13,2.5,Credit Card
234,4083,Wallet,110.0,2023-07-07,3.7,Credit Card
235,4062,Coat,115.0,2023-04-10,1.6,Credit Card
236,4055,T-shirt,198.0,2022-11-29,3.9,Credit Card
237,4017,Shorts,78.0,2023-02-26,1.8,Credit Card
238,4069,Jumpsuit,110.0,2023-02-16,4.8,Cash
239,4120,Hoodie,107.0,2023-07-11,4.0,Cash
240,3999,Backpack,130.0,2023-04-26,3.0,Cash
241,4010,Romper,127.0,2023-07-24,3.4,Credit Card
242,4104,Pajamas,68.0,2023-07-12,1.8,Cash
243,4045,Vest,178.0,2023-01-29,2.7,Credit Card
244,3970,Romper,110.0,2022-10-18,2.5,Cash
245,4121,Slippers,27.0,2023-04-11,3.6,Credit Card
246,4024,Hoodie,81.0,2022-12-30,3.6,Credit Card
247,3986,Flannel Shirt,140.0,2022-11-24,2.2,Cash
248,3970,Socks,147.0,2023-05-07,2.2,Credit Card
249,3999,Belt,17.0,2023-07-25,4.2,Credit Card
250,4075,Coat,110.0,2022-10-06,2.4,Cash
251,4059,Belt,55.0,2023-01-16,1.4,Cash
252,4078,Sandals,77.0,2023-07-28,4.5,Cash
253,4034,Tank Top,110.0,2023-01-01,2.1,Cash
254,4078,Blazer,98.0,2023-01-05,2.3,Credit Card
255,4093,Trench Coat,90.0,2022-10-17,1.5,Cash
256,4016,Polo Shirt,140.0,2023-01-02,2.3,Cash
257,4054,Wallet,110.0,2023-05-01,3.8,Cash
258,4056,Pajamas,58.0,2023-07-20,4.1,Cash
259,4078,Slippers,191.0,2023-07-10,4.2,Credit Card
260,4024,Blazer,143.0,2022-10-09,2.6,Credit Card
261,3994,Camisole,147.0,2022-11-19,2.2,Cash
262,4092,Tie,199.0,2023-02-15,4.6,Cash
263,4068,Tunic,60.0,2023-01-04,1.2,Cash
264,3960,Camisole,27.0,2023-09-14,2.0,Credit Card
265,4030,Hoodie,94.0,2023-04-23,2.6,Credit Card
266,4071,Skirt,179.0,2023-02-16,2.6,Credit Card
267,4054,Handbag,194.0,2023-06-12,2.1,Credit Card
268,4037,Sunglasses,139.0,2022-11-10,2.4,Cash
269,4092,Jumpsuit,114.0,2022-11-02,2.2,Credit Card
270,3967,Raincoat,188.0,2023-05-06,3.3,Cash
271,3981,Pants,42.0,2023-07-08,1.8,Credit Card
272,4093,Sneakers,110.0,2022-10-14,4.8,Cash
273,4120,Poncho,107.0,2022-11-07,2.3,Cash
274,4047,Scarf,54.0,2023-05-20,1.1,Credit Card
275,4067,Poncho,87.0,2023-05-27,4.2,Credit Card
276,4113,Vest,10.0,2022-10-11,2.9,Credit Card
277,4026,Tank Top,63.0,2023-01-20,4.6,Cash
278,4042,Blazer,158.0,2022-11-12,3.2,Cash
279,4026,T-shirt,92.0,2023-04-24,3.1,Credit Card
280,4025,Coat,123.0,2023-01-09,1.8,Cash
281,3982,Kimono,140.0,2023-05-18,3.1,Credit Card
282,4022,T-shirt,198.0,2022-10-22,1.9,Cash
283,4106,Skirt,110.0,2023-03-26,4.6,Cash
284,4057,Jacket,110.0,2023-09-17,1.9,Cash
285,4075,Jumpsuit,172.0,2022-10-07,4.8,Credit Card
286,4018,Tank Top,33.0,2022-10-18,3.2,Credit Card
287,4107,Tie,70.0,2023-02-28,3.1,Cash
288,4006,Flannel Shirt,67.0,2023-07-27,1.4,Cash
289,4090,Tie,47.0,2023-01-11,2.9,Cash
290,4043,Backpack,110.0,2023-01-16,2.2,Cash
291,4003,Cardigan,131.0,2023-01-04,4.1,Credit Card
292,4037,Camisole,28.0,2023-05-01,2.1,Cash
293,4097,Belt,171.0,2023-05-24,4.1,Cash
294,3959,Coat,193.0,2023-01-03,1.5,Credit Card
295,3959,Hat,136.0,2023-02-08,2.1,Credit Card
296,3974,Swimsuit,47.0,2023-02-22,3.0,Credit Card
297,3960,Hat,11.0,2023-04-12,2.6,Credit Card
298,4062,Romper,37.0,2023-07-24,4.0,Cash
299,3982,Blouse,66.0,2023-01-24,1.1,Cash
300,4091,Socks,110.0,2022-11-28,3.4,Credit Card
301,3983,Kimono,142.0,2023-05-15,3.9,Credit Card
302,4071,Hat,152.0,2022-12-22,1.8,Credit Card
303,4046,Trench Coat,41.0,2023-07-17,2.2,Credit Card
304,4013,Shorts,128.0,2023-02-21,3.0,Cash
305,4029,Bowtie,153.0,2023-05-17,2.95,Credit Card
306,4021,Sunglasses,123.0,2023-05-11,1.8,Cash
307,4006,Scarf,194.0,2023-02-02,3.6,Cash
308,3965,Hat,119.0,2023-07-13,2.2,Cash
309,3963,Socks,150.0,2022-10-04,2.4,Credit Card
310,4115,Sweater,50.0,2023-07-05,3.2,Cash
311,3980,Poncho,131.0,2023-01-23,4.6,Credit Card
312,3971,Hat,73.0,2023-07-17,2.0,Credit Card
313,4109,Tunic,80.0,2022-10-18,2.3,Credit Card
314,4012,Socks,143.0,2023-04-23,2.6,Cash
315,4110,Sandals,71.0,2023-03-17,3.2,Cash
316,4120,Tie,29.0,2023-02-12,1.9,Credit Card
317,3988,Bowtie,70.0,2022-11-02,2.6,Credit Card
318,3987,Handbag,91.0,2022-12-21,2.5,Cash
319,3979,Flip-Flops,30.0,2023-03-30,3.6,Cash
320,4111,Skirt,110.0,2023-08-13,4.2,Credit Card
321,3990,Handbag,187.0,2023-08-11,1.4,Credit Card
322,4053,Coat,110.0,2023-07-10,4.5,Credit Card
323,4122,Hoodie,116.0,2023-03-17,2.0,Cash
324,4101,Cardigan,148.0,2022-11-26,3.5,Credit Card
325,4004,Hoodie,25.0,2023-09-24,3.9,Credit Card
326,3985,Pajamas,117.0,2023-08-07,1.9,Cash
327,4004,Shorts,159.0,2023-01-22,2.0,Cash
328,4021,Sneakers,15.0,2023-08-07,2.4,Credit Card
329,4032,Jacket,157.0,2023-01-25,2.3,Credit Card
330,4076,Trousers,11.0,2022-12-06,2.6,Credit Card
331,3976,Jeans,86.0,2023-05-26,3.25,Cash
332,4120,Slippers,117.0,2023-09-25,4.0,Credit Card
333,4073,Boots,198.0,2022-12-21,3.2,Cash
334,4027,Onesie,164.0,2023-06-11,3.6,Cash
335,4066,Kimono,134.0,2023-01-02,3.8,Credit Card
336,4039,Umbrella,121.0,2023-07-05,4.4,Cash
337,4022,Tunic,109.0,2022-11-15,1.3,Credit Card
338,3998,Skirt,183.0,2022-12-22,3.8,Credit Card
339,3975,T-shirt,195.0,2023-07-22,4.0,Cash
340,4027,Sweater,110.0,2022-12-01,4.0,Credit Card
341,3972,Sneakers,42.0,2023-04-18,2.8,Credit Card
342,4054,Tunic,146.0,2023-01-23,1.2,Credit Card
343,4056,T-shirt,110.0,2023-03-29,1.7,Cash
344,4042,Wallet,154.0,2023-08-31,2.9,Credit Card
345,3972,Slippers,31.0,2022-10-26,3.2,Credit Card
346,4023,Dress,44.0,2023-03-03,2.2,Cash
347,4024,Skirt,56.0,2023-07-17,2.2,Credit Card
348,4002,Scarf,110.0,2023-05-09,3.7,Credit Card
349,4069,Flannel Shirt,64.0,2022-11-01,3.5,Cash
350,3974,T-shirt,96.0,2022-12-05,3.6,Credit Card
351,4082,Pajamas,107.0,2023-05-10,3.1,Cash
352,4008,Loafers,117.0,2023-05-04,3.5,Credit Card
353,4113,Flannel Shirt,30.0,2023-05-21,3.1,Credit Card
354,4057,Tunic,148.0,2023-04-22,2.9,Cash
355,4002,Sneakers,110.0,2023-08-28,4.7,Credit Card
356,4122,Kimono,67.0,2023-03-20,4.4,Cash
357,4082,Onesie,176.0,2022-12-28,3.1,Credit Card
358,3984,Tunic,110.0,2023-05-22,1.0,Credit Card
359,3993,Trousers,110.0,2022-12-26,1.6,Credit Card
360,4095,Loafers,15.0,2023-07-12,2.7,Credit Card
361,4067,Belt,71.0,2023-08-27,2.2,Credit Card
362,4012,Trousers,110.0,2023-03-06,3.8,Cash
363,4114,Swimsuit,154.0,2023-04-02,2.3,Credit Card
364,4121,Umbrella,129.0,2023-01-15,3.1,Cash
365,3984,Trousers,104.0,2023-07-30,1.6,Cash
366,4070,Leggings,110.0,2023-06-09,3.2,Credit Card
367,4023,Boots,193.0,2023-02-14,3.5,Credit Card
368,3983,Swimsuit,110.0,2023-08-17,2.1,Cash
369,3965,Wallet,89.0,2023-08-18,4.5,Cash
370,3975,Vest,110.0,2023-07-29,2.2,Credit Card
371,3975,Pajamas,110.0,2023-04-11,2.6,Cash
372,4103,Flip-Flops,183.0,2022-10-13,3.2,Cash
373,4021,Sweater,106.0,2023-05-21,1.3,Cash
374,4071,Raincoat,193.0,2022-10-02,3.9,Credit Card
375,3961,Trousers,110.0,2023-06-17,2.1,Credit Card
376,4084,Skirt,170.0,2023-07-08,4.2,Cash
377,3995,T-shirt,188.0,2023-05-12,4.1,Cash
378,4120,Overalls,185.0,2023-03-05,4.1,Credit Card
379,3957,Tank Top,40.0,2022-10-03,2.1,Cash
380,3966,Vest,154.0,2023-05-04,4.5,Cash
381,4056,Camisole,98.0,2023-06-12,2.9,Credit Card
382,4025,Blouse,179.0,2023-04-06,4.1,Cash
383,3995,Jeans,139.0,2023-05-01,1.4,Cash
384,4041,Loafers,13.0,2022-10-13,1.6,Cash
385,4057,Shorts,135.0,2022-12-27,4.5,Credit Card
386,4104,Flannel Shirt,110.0,2022-10-24,4.6,Cash
387,3957,Sneakers,172.0,2023-07-08,2.9,Credit Card
388,4088,Tank Top,127.0,2022-10-07,2.8,Credit Card
389,4082,Tunic,121.0,2023-09-07,2.3,Cash
390,4079,Boots,110.0,2022-11-23,1.5,Credit Card
391,4068,Swimsuit,176.0,2023-07-18,2.5,Cash
392,4060,Bowtie,147.0,2022-12-28,2.9,Credit Card
393,3974,Flip-Flops,129.0,2023-08-02,3.1,Credit Card
394,4095,Umbrella,197.0,2022-10-25,4.5,Credit Card
395,4014,Wallet,92.0,2022-12-25,4.8,Credit Card
396,3957,Onesie,32.0,2023-01-05,4.3,Cash
397,4055,Trench Coat,125.0,2022-11-10,4.4,Cash
398,4080,Tie,128.0,2023-04-10,3.0,Credit Card
399,3988,Wallet,181.0,2023-03-04,3.7,Credit Card
400,4102,Socks,17.0,2023-01-31,2.7,Cash
401,4094,T-shirt,93.0,2023-08-15,1.1,Cash
402,4048,Handbag,110.0,2022-10-18,2.9,Credit Card
403,4042,Leggings,76.0,2023-02-22,3.9,Credit Card
404,4034,Jeans,162.0,2023-02-11,3.2,Credit Card
405,4059,Handbag,80.0,2023-07-06,4.8,Cash
406,3971,Swimsuit,142.0,2023-07-22,1.7,Cash
407,4118,Dress,31.0,2022-10-19,1.0,Credit Card
408,4122,Poncho,114.0,2023-07-28,3.1,Cash
409,3980,Leggings,71.0,2023-01-25,2.6500000000000004,Cash
410,4050,Umbrella,175.0,2022-12-29,1.4,Cash
411,4093,Bowtie,124.0,2022-12-21,2.0,Credit Card
412,4044,Gloves,33.0,2023-03-29,3.4,Cash
413,3977,Loafers,113.0,2023-01-08,2.7,Credit Card
414,4074,Kimono,88.0,2023-02-05,2.9,Cash
415,4031,Vest,104.0,2023-01-15,2.9,Credit Card
416,4122,Poncho,145.0,2022-12-29,2.0,Cash
417,4008,Flip-Flops,200.0,2022-10-05,4.9,Cash
418,4002,Hoodie,100.0,2022-12-26,4.5,Cash
419,4098,Raincoat,79.0,2023-02-04,5.0,Credit Card
420,3967,Belt,69.0,2023-04-03,3.0,Cash
421,4055,Onesie,110.0,2022-11-05,4.5,Cash
422,4005,Wallet,110.0,2022-10-22,4.2,Credit Card
423,4033,Tank Top,110.0,2022-12-19,3.2,Credit Card
424,4056,Skirt,186.0,2023-04-11,3.3,Cash
425,3984,Camisole,110.0,2023-08-31,1.6,Cash
426,4118,Pajamas,133.0,2023-03-20,4.5,Credit Card
427,4048,Cardigan,160.0,2023-03-27,2.7,Cash
428,4081,Loafers,144.0,2022-11-01,1.2,Credit Card
429,3978,Socks,35.0,2022-11-29,1.2,Cash
430,4118,Romper,85.0,2023-08-14,3.4,Credit Card
431,4069,Pants,55.0,2023-01-25,4.9,Cash
432,4005,Flannel Shirt,191.0,2023-03-23,3.5,Cash
433,3992,Sunglasses,80.0,2023-02-24,2.5,Cash
434,3966,Romper,110.0,2023-03-19,4.4,Credit Card
435,4006,Trench Coat,110.0,2023-09-16,3.8,Credit Card
436,3963,Dress,42.0,2022-10-19,3.3,Cash
437,4108,Blouse,135.0,2023-01-25,3.1,Cash
438,4018,Kimono,110.0,2023-04-27,2.6,Credit Card
439,4082,Hoodie,110.0,2023-07-26,3.7,Cash
440,4056,Blazer,132.0,2023-06-17,3.1,Cash
441,3973,Umbrella,57.0,2023-07-12,3.0,Cash
442,4095,Sun Hat,74.0,2023-07-15,1.3,Credit Card
443,4121,Overalls,132.0,2023-02-24,2.1,Cash
444,4035,Coat,110.0,2023-09-22,3.0,Cash
445,4084,Bowtie,110.0,2023-01-16,4.0,Cash
446,4093,Shorts,157.0,2023-08-17,1.0,Cash
447,4072,Onesie,23.0,2023-01-09,2.4,Cash
448,3961,Wallet,110.0,2023-02-04,3.3,Credit Card
449,3966,Polo Shirt,87.0,2023-01-08,3.3,Cash
450,4043,Boots,110.0,2022-12-24,1.5,Cash
451,3971,Boots,152.0,2023-03-01,3.4,Credit Card
452,4043,Scarf,165.0,2023-02-05,1.7,Credit Card
453,3967,Coat,168.0,2023-04-21,4.9,Credit Card
454,4060,Tunic,143.0,2022-12-24,4.2,Credit Card
455,3987,Wallet,123.0,2023-08-01,2.5,Credit Card
456,4011,Tank Top,160.0,2023-05-08,3.2,Cash
